Model,Accuracy,Precision,Recall,F1-Score
Naive Bayes (TF-IDF),0.873,0.8621359223300971,0.888,0.8748768472906404
Naive Bayes (Word2Vec),0.7516,0.7492076069730587,0.7564,0.7527866242038217
SVM (TF-IDF),0.8974,0.8926877470355731,0.9034,0.8980119284294235
SVM (Word2Vec),0.8555,0.8519105127697486,0.8606,0.8562332106258084
